94,2914,1263916800000,-1,300049.SZ,福瑞股份,7400,1900,100,-1,-1
95,2915,1264003200000,-1,122039.SS,09皖通债,-1,-1,100,-1,-1
96,2916,1,-1,112731.SZ,美丰转债,-1,-1,100,-1,-1
97,2917,1263916800000,-1,300045.SZ,华力创通,6700,1700,100,-1,-1
98,2918,1262880000000,-1,300040.SZ,九洲电气,13890,3600,100,-1,-1
99,2919,1268323200000,-1,002367.SZ,康力电梯,16020,4020,100,-1,-1
100,2920,1265644800000,-1,002356.SZ,浩宁达,8000,2000,100,-1,-1
101,2921,1263916800000,-1,300047.SZ,天源迪科,10460,2700,100,-1,-1
102,2922,853689600000,-1,000688.SZ,*ST朝华,40191,27260,100,-1,-1
103,2923,961084800000,-1,000979.SZ,中弘地产,56227,8952,100,-1,-1
104,2924,1268323200000,-1,002368.SZ,太极股份,9879,2500,100,-1,-1
105,2925,839433600000,-1,600740.SS,*ST山焦,56570,45683,100,-1,-1
106,2926,1088956800000,-1,002011.SZ,盾安环境,37236,9730,100,-1,-1
107,2927,844272000000,-1,600757.SS,*ST源发,55217,29538,100,-1,-1
108,2928,835718400000,-1,600722.SS,*ST金化,42142,42142,100,-1,-1
109,2929,1268841600000,-1,002374.SZ,丽鹏股份,5350,1350,100,-1,-1
110,2930,1263916800000,-1,122043.SS,09紫江债,-1,-1,100,-1,-1
111,2931,1267113600000,-1,601688.SS,华泰证券,560000,78456,100,-1,-1
112,2932,1186070400000,-1,002145.SZ,*ST钛白,19000,9986,100,-1,-1
113,2933,1077120000000,-1,600444.SS,*ST国通,10500,8052,100,-1,-1
114,2934,1023897600000,-1,600355.SS,*ST精伦,24604,24604,100,-1,-1
115,2935,1271865600000,-1,111058.SZ,09黄城投,-1,-1,100,-1,-1
116,2936,1265817600000,-1,300053.SZ,欧比特,10000,2500,100,-1,-1
117,2937,1269964800000,-1,002378.SZ,章源钨业,42821,4300,100,-1,-1
118,2938,1269964800000,-1,002379.SZ,鲁丰股份,7750,1950,100,-1,-1
119,2939,1271088000000,-1,002389.SZ,南洋科技,6700,1700,100,-1,-1
120,2940,1265126400000,-1,122927.SS,09海航债,-1,-1,100,-1,-1
121,2941,867254400000,-1,000751.SZ,锌业股份,111013,111011,100,-1,-1
122,2942,1264521600000,-1,122042.SS,09金丰债,-1,-1,100,-1,-1
123,2943,1268150400000,-1,122925.SS,09沈国资,-1,-1,100,-1,-1
124,2944,1268236800000,-1,111059.SZ,09宿建投,-1,-1,100,-1,-1
125,2945,1267372800000,-1,112019.SZ,09宜化债,-1,-1,100,-1,-1
126,2946,1261670400000,-1,300031.SZ,宝通带业,10000,2500,100,-1,-1
127,2947,1264089600000,-1,002339.SZ,积成电子,8600,2200,100,-1,-1
128,2948,1264435200000,-1,002343.SZ,禾欣股份,9906,2500,100,-1,-1
129,2949,1204128000000,-1,580017.SS,赣粤CWB1,-1,-1,100,-1,-1
130,2950,864057600000,-1,600077.SS,*ST百科,15912,13122,100,-1,-1
131,2951,1270137600000,-1,002382.SZ,蓝帆股份,8000,2000,100,-1,-1
132,2952,1089129600000,-1,600984.SS,*ST建机,14156,14156,100,-1,-1
133,2953,780681600000,-1,000043.SZ,中航地产,22232,11083,100,-1,-1
134,2954,1173110400000,-1,002120.SZ,新海股份,15028,9347,100,-1,-1
135,2955,865958400000,-1,000068.SZ,ST三星,89667,60885,100,-1,-1
136,2956,1028563200000,-1,600515.SS,*ST筑信,29556,25019,100,-1,-1
137,2957,754243200000,-1,000536.SZ,闽闽东,70049,8540,100,-1,-1
138,2958,764438400000,-1,601607.SS,上海医药,199264,82693,100,-1,-1
139,2959,1247760000000,-1,108013.SZ,贴债0913,-1,-1,100,-1,-1
140,2960,1262793600000,-1,601117.SS,中国化学,493300,123300,100,-1,-1
